T(K),Cp_Thiswork
4384.0,33.302448928107445
4385.0,33.30302022111613
4386.0,33.303590996436235
4387.0,33.304161245074624
4388.0,33.30473097609813
4389.0,33.305300183528225
4390.0,33.3058688704194
4391.0,33.306437033803086
4392.0,33.30700467672655
4393.0,33.30757179923461
4394.0,33.30813839836008
4395.0,33.30870447715289
4396.0,33.309270032642246
4397.0,33.30983506789004
4398.0,33.31039958292756
4399.0,33.31096357780865
4400.0,33.311527049557554
4401.0,33.31208999822821
4402.0,33.312652429869985
4403.0,33.31321433851617
4404.0,33.313775727220104
4405.0,33.31433659301693
4406.0,33.31489693895736
4407.0,33.315456762072216
4408.0,33.316016065428826
4409.0,33.31657484906479
4410.0,33.31713311302905
4411.0,33.31769085434742
4412.0,33.31824807608422
4413.0,33.318804775274344
4414.0,33.31936095496563
4415.0,33.31991661522164
4416.0,33.32047175306714
4417.0,33.32102637156222
4418.0,33.32158047074861
4419.0,33.32213404766527
4420.0,33.32268710537282
4421.0,33.32323964090503
4422.0,33.32379166033964
4423.0,33.324343154682914
4424.0,33.32489413301711
4425.0,33.32544458937062
4426.0,33.3259945268034
4427.0,33.32654394234787
4428.0,33.32709283907869
4429.0,33.327641217026574
4430.0,33.32818907323805
4431.0,33.32873641078085
4432.0,33.32928322668284
4433.0,33.329829527022866
4434.0,33.33037530582482
4435.0,33.33092056313616
4436.0,33.33146530202949
4437.0,33.33200952254615
4438.0,33.33255322172903
4439.0,33.333096402646476
4440.0,33.333639065334935
4441.0,33.334181206853366
4442.0,33.33472283025117
4443.0,33.33526393559065
4444.0,33.33580451989677
4445.0,33.33634458625553
4446.0,33.33688413470564
4447.0,33.3374231622812
4448.0,33.337961669049875
4449.0,33.33849966108501
4450.0,33.339037132418746
4451.0,33.33957408610995
4452.0,33.340110519201176
4453.0,33.34064643475808
4454.0,33.34118183284081
4455.0,33.34171671048654
4456.0,33.34225107076712
4457.0,33.34278491071994
4458.0,33.34331823643187
4459.0,33.34385103890554
4460.0,33.34438332725047
4461.0,33.34491509548776
4462.0,33.345446346695525
4463.0,33.34597707790427
4464.0,33.34650729219106
4465.0,33.34703698961909
4466.0,33.347566167208335
4467.0,33.34809482805381
4468.0,33.3486229722032
4469.0,33.349150596699545
4470.0,33.3496777046164
4471.0,33.350204292987996
4472.0,33.3507303648976
4473.0,33.351255920397534
4474.0,33.35178095955571
4475.0,33.35230547939973
4476.0,33.35282948000112
4477.0,33.35335296442112
4478.0,33.35387593575317
4479.0,33.3543983849898
4480.0,33.35492031823587
4481.0,33.3554417355459
4482.0,33.35596263697732
4483.0,33.35648301957553
4484.0,33.3570028864211
4485.0,33.35752223455189
4486.0,33.358041067046486
4487.0,33.35855938397235
4488.0,33.35907718235953
4489.0,33.35959446529713
4490.0,33.36011123285221
4491.0,33.36062748204973
4492.0,33.36114321598316
4493.0,33.36165843169344
4494.0,33.36217313225765
4495.0,33.36268731774014
4496.0,33.36320098821118
4497.0,33.363714140701234
4498.0,33.364226778303276
4499.0,33.36473889804799
4500.0,33.36525050303253
4501.0,33.365761590290106
4502.0,33.366272165927526
4503.0,33.36678222397316
4504.0,33.367291764478566
4505.0,33.36780079054094
4506.0,33.36830930222379
4507.0,33.368817296562696
4508.0,33.369324776644206
4509.0,33.36983174253588
4510.0,33.37033819128415
4511.0,33.37084412597642
4512.0,33.37134954667173
4513.0,33.37185445041718
4514.0,33.37235884030603
4515.0,33.3728627163958
4516.0,33.37336607572823
4517.0,33.37386892140223
4518.0,33.374371250457116
4519.0,33.37487306597405
4520.0,33.375374368033135
4521.0,33.37587515366843
4522.0,33.37637542598303
4523.0,33.376875182002806
4524.0,33.377374427858506
4525.0,33.37787315756515
4526.0,33.378371371182766
4527.0,33.37886907181557
4528.0,33.379366259525554
4529.0,33.37986293135686
4530.0,33.38035909039809
4531.0,33.38085473672961
4532.0,33.38134986738601
4533.0,33.381844485468655
4534.0,33.38233859104932
4535.0,33.382832181151386
4536.0,33.38332525889472
4537.0,33.38381782130665
4538.0,33.38430987149277
4539.0,33.38480140951971
4540.0,33.38529243243346
4541.0,33.38578294333087
4542.0,33.386272942276634
4543.0,33.38676242632454
4544.0,33.38725139856639
4545.0,33.38773985604563
4546.0,33.38822780186703
4547.0,33.388715236096665
4548.0,33.389202155774555
4549.0,33.38968856704442
4550.0,33.390174460876416
4551.0,33.39065984340234
4552.0,33.391144714708794
4553.0,33.39162907485843
4554.0,33.392112920888536
4555.0,33.39259625590626
4556.0,33.39307907696143
4557.0,33.39356138715212
4558.0,33.394043186549645
4559.0,33.39452447220466
4560.0,33.3950052472158
4561.0,33.39548551165553
4562.0,33.395965262572275
4563.0,33.3964445030642
4564.0,33.39692323018105
4565.0,33.39740144702312
4566.0,33.39787915367031
4567.0,33.398356347166356
4568.0,33.39883303061445
4569.0,33.399309204094614
4570.0,33.3997848646426
4571.0,33.40026001537136
4572.0,33.400734653324136
4573.0,33.40120878160505
4574.0,33.40168240029949
4575.0,33.40215550643794
4576.0,33.402628103143854
4577.0,33.403100190489205
4578.0,33.403571765503145
4579.0,33.40404283131761
4580.0,33.404513384960126
4581.0,33.40498342955344
4582.0,33.40545296516668
4583.0,33.40592199188495
4584.0,33.406390506742675
4585.0,33.406858509822534
4586.0,33.407326004228466
4587.0,33.40779299005329
4588.0,33.40825946737295
4589.0,33.40872543321502
4590.0,33.409190887671706
4591.0,33.40965583689304
4592.0,33.41012027488998
4593.0,33.410584201726564
4594.0,33.41104762052814
4595.0,33.4115105313751
4596.0,33.41197293434222
4597.0,33.41243482648066
4598.0,33.41289620784993
4599.0,33.413357084633326
4600.0,33.4138174508132
4601.0,33.4142773064759
4602.0,33.41473665475077
4603.0,33.415195495704516
4604.0,33.41565382638576
4605.0,33.416111649907904
4606.0,33.41656896636135
4607.0,33.417025772788186
4608.0,33.41748207229496
4609.0,33.41793786498093
4610.0,33.41839314786587
4611.0,33.41884792409977
4612.0,33.41930219070285
4613.0,33.41975595080622
4614.0,33.4202092014475
4615.0,33.420661948797324
4616.0,33.42111418684647
4617.0,33.42156591568242
4618.0,33.42201713842954
4619.0,33.42246785517359
4620.0,33.42291806294817
4621.0,33.42336776489003
4622.0,33.42381695802493
4623.0,33.42426564853979
4624.0,33.42471382737008
4625.0,33.42516150374143
4626.0,33.425608671645826
4627.0,33.42605533117383
4628.0,33.4265014884928
4629.0,33.42694713759458
4630.0,33.42739227856136
4631.0,33.427836914536556
4632.0,33.428281045601615
4633.0,33.42872466878543
4634.0,33.429167787223996
4635.0,33.429610397958015
4636.0,33.430052504115565
4637.0,33.43049410578579
4638.0,33.43093520305601
4639.0,33.43137579296564
4640.0,33.43181587557849
4641.0,33.43225545405808
4642.0,33.432694528476
4643.0,33.43313309892488
4644.0,33.43357116243315
4645.0,33.43400871909371
4646.0,33.434445772039204
4647.0,33.43488232135994
4648.0,33.43531836714314
4649.0,33.435753906417894
4650.0,33.436188942327774
4651.0,33.43662347190479
4652.0,33.43705749829782
4653.0,33.437491018528334
4654.0,33.43792403574565
4655.0,33.438356550036374
4656.0,33.43878856148858
4657.0,33.43922006407615
4658.0,33.439651067053816
4659.0,33.44008156440683
4660.0,33.44051155927695
4661.0,33.440941048683584
4662.0,33.44137003578521
4663.0,33.44179852066313
4664.0,33.44222650035873
4665.0,33.442653978004174
4666.0,33.44308095063971
4667.0,33.443507421417294
4668.0,33.44393339041385
4669.0,33.44435885466593
4670.0,33.444783817328705
4671.0,33.44520827542467
4672.0,33.44563223209151
4673.0,33.44605568744461
4674.0,33.44647863849779
4675.0,33.446901088401205
4676.0,33.447323034189004
4677.0,33.44774448208107
4678.0,33.4481654229714
4679.0,33.44858586307047
4680.0,33.44900580248396
4681.0,33.44942524128835
4682.0,33.4498441765236
4683.0,33.450262608272034
4684.0,33.45068054276127
4685.0,33.4510979708711
4686.0,33.45151490191169
4687.0,33.45193132982645
4688.0,33.452347257779024
4689.0,33.4527626827862
4690.0,33.453177608031396
4691.0,33.45359203051531
4692.0,33.4540059533977
4693.0,33.45441937677717
4694.0,33.45483229767785
4695.0,33.4552447192676
4696.0,33.4556566385602
4697.0,33.45606805871415
4698.0,33.45647897982745
4699.0,33.45688939892854
4700.0,33.45729931916503
4701.0,33.45770873757807
4702.0,33.45811765732616
4703.0,33.458526078487424
4704.0,33.45893399810228
4705.0,33.45934141932299
4706.0,33.45974833917836
4707.0,33.46015476083122
4708.0,33.46056068437823
4709.0,33.46096610682737
4710.0,33.46137102829699
4711.0,33.461775455004606
4712.0,33.46217938090788
4713.0,33.46258280610176
4714.0,33.462985733749775
4715.0,33.463388163948096
4716.0,33.46379009371298
4717.0,33.46419152622076
4718.0,33.4645924615508
4719.0,33.46499289674521
4720.0,33.46539283188226
4721.0,33.46579227014721
4722.0,33.46619121161069
4723.0,33.46658965638824
4724.0,33.466987601495
4725.0,33.46738504701857
4726.0,33.46778199614063
4727.0,33.46817844894975
4728.0,33.468574402464675
4729.0,33.46896985985502
4730.0,33.469364821225945
4731.0,33.46975928359001
4732.0,33.47015325011898
4733.0,33.47054671783698
4734.0,33.470939689913486
4735.0,33.471332163364686
4736.0,33.4717241413699
4737.0,33.472115620936634
4738.0,33.47250660833673
4739.0,33.47289709440997
4740.0,33.4732870885005
4741.0,33.473676584548365
4742.0,33.47406558264115
4743.0,33.47445408596161
4744.0,33.47484209461258
4745.0,33.47522960560026
4746.0,33.47561662209844
4747.0,33.476003141137326
4748.0,33.47638916588697
4749.0,33.476774696442305
4750.0,33.47715972982398
4751.0,33.47754426920807
4752.0,33.477928311602646
4753.0,33.47831186021202
4754.0,33.47869491202475
4755.0,33.47907747022909
4756.0,33.47945953492685
4757.0,33.479841103130404
4758.0,33.48022217493597
4759.0,33.48060275661571
4760.0,33.480982842091684
4761.0,33.481362431463175
4762.0,33.48174152791618
4763.0,33.48212013153423
4764.0,33.48249823935726
4765.0,33.482875854548844
4766.0,33.48325297412826
4767.0,33.48362960127649
4768.0,33.4840057330035
4769.0,33.48438137250682
4770.0,33.48475651986514
4771.0,33.485131172110144
4772.0,33.48550533242009
4773.0,33.48587899780692
4774.0,33.4862521714519
4775.0,33.48662485036557
4776.0,33.48699703775296
4777.0,33.487368733681095
4778.0,33.48773993518856
4779.0,33.488110645454555
4780.0,33.4884808614883
4781.0,33.48885058647073
4782.0,33.48921981742987
4783.0,33.48958855753172
4784.0,33.48995680689661
4785.0,33.490324562520264
4786.0,33.49069182760545
4787.0,33.491058599147095
4788.0,33.49142488033907
4789.0,33.49179066819457
4790.0,33.492155965909404
4791.0,33.492520770472154
4792.0,33.49288508509522
4793.0,33.49324890987565
4794.0,33.49361224180052
4795.0,33.493975084097634
4796.0,33.49433743373383
4797.0,33.49469929393078
4798.0,33.495060661692285
4799.0,33.49542154020461
4800.0,33.495781929569276
4801.0,33.49614182679625
4802.0,33.49650123198353
4803.0,33.496860151421586
4804.0,33.49721857591439
4805.0,33.49757651487104
4806.0,33.49793396218509
4807.0,33.49829091796097
4808.0,33.49864738539393
4809.0,33.49900336148607
4810.0,33.499358852541974
4811.0,33.499713849365996
4812.0,33.50006835825018
4813.0,33.50042237928736
4814.0,33.500775909498756
4815.0,33.50112895207144
4816.0,33.5014815071136
4817.0,33.50183356851842
4818.0,33.502185145692096
4819.0,33.5025362325421
4820.0,33.50288683225761
4821.0,33.50323694184341
4822.0,33.503586561401974
4823.0,33.50393569724127
4824.0,33.504284340143805
4825.0,33.504632499539326
4826.0,33.50498016619494
4827.0,33.50532734953958
4828.0,33.50567404346121
4829.0,33.50602024806404
4830.0,33.5063659665461
4831.0,33.50671119901766
4832.0,33.507055942479965
4833.0,33.50740020012367
4834.0,33.50774396895511
4835.0,33.508087252185845
4836.0,33.50843004680003
4837.0,33.50877235601182
4838.0,33.50911417682035
4839.0,33.50945551242245
4840.0,33.509796362931056
4841.0,33.51013672533774
4842.0,33.51047659973736
4843.0,33.510815989342944
4844.0,33.511154894266504
4845.0,33.51149331148913
4846.0,33.511831244222414
4847.0,33.51216868947022
4848.0,33.51250565042216
4849.0,33.51284212410383
4850.0,33.51317811370046
4851.0,33.51351361620671
4852.0,33.51384863483804
4853.0,33.51418316970144
4854.0,33.5145172177851
4855.0,33.51485077918916
4856.0,33.515183857130374
4857.0,33.51551645171139
4858.0,33.515848559907425
4859.0,33.516180184949796
4860.0,33.51651132383106
4861.0,33.516841979748236
4862.0,33.517172149712074
4863.0,33.51750183692539
4864.0,33.51783103837199
4865.0,33.51815975727794
4866.0,33.51848799062405
4867.0,33.51881574163096
4868.0,33.51914300727584
4869.0,33.5194697908074
4870.0,33.51979609230109
4871.0,33.52012190873407
4872.0,33.52044724023154
4873.0,33.52077209001259
4874.0,33.52109645815838
4875.0,33.5214203416738
4876.0,33.52174374377915
4877.0,33.52206666143374
4878.0,33.52238909476624
4879.0,33.52271104699277
4880.0,33.52303251820389
4881.0,33.52335350539671
4882.0,33.52367401178539
4883.0,33.523994034355255
4884.0,33.524313576321404
